date,value,capital,shares,stock_value,returns
2020-10-07 00:00:00-04:00,14347.858546768191,8532.596095596316,52,5815.262451171876,0.009809625814270584
2020-10-08 00:00:00-04:00,14342.29998353577,8532.596095596316,52,5809.703887939453,-0.00038741413670217995
2020-10-09 00:00:00-04:00,14436.885707237247,10003.810229637149,39,4433.075477600098,0.006594878353545663
2020-10-12 00:00:00-04:00,14711.543731590275,11931.0986632309,23,2780.445068359375,0.019024741895361963
2020-10-13 00:00:00-04:00,14628.31395531464,7449.708745964055,61,7178.605209350585,-0.0056574468182366555
2020-10-14 00:00:00-04:00,14633.647825248723,7449.708745964055,61,7183.939079284668,0.00036462643270973594
2020-10-15 00:00:00-04:00,14605.193693168645,7449.708745964055,61,7155.48494720459,-0.0019444319297464707
2020-10-16 00:00:00-04:00,14498.396257926946,5823.838762809758,75,8674.557495117188,-0.007312291605667043
2020-10-19 00:00:00-04:00,14268.56213968659,2547.0800840225265,104,11721.482055664062,-0.015852382163626944
2020-10-20 00:00:00-04:00,14416.821518806462,3911.0303505935717,92,10505.79116821289,0.01039063205307178
2020-10-21 00:00:00-04:00,14359.604386238101,3911.0303505935717,92,10448.57403564453,-0.003968775814677472
2020-10-22 00:00:00-04:00,14259.469315437322,3911.0303505935717,92,10348.43896484375,-0.006973386460197073
2020-10-23 00:00:00-04:00,14195.992600349431,3911.0303505935717,92,10284.96224975586,-0.004451548208681988
2020-10-26 00:00:00-04:00,14189.877183311466,5916.4686292343185,74,8273.408554077148,-0.00043078474398572375
2020-10-27 00:00:00-04:00,14293.504021804814,8741.361619155889,49,5552.142402648926,0.007302870712314835
2020-10-28 00:00:00-04:00,14027.807248611456,5166.767331619267,82,8861.03991699219,-0.018588638082588926
2020-10-29 00:00:00-04:00,14345.845482742314,10423.563988601689,35,3922.281494140625,0.02267198490072908
2020-10-30 00:00:00-04:00,14118.904630859379,8194.805143554691,56,5924.0994873046875,-0.015819273402598588
2020-11-02 00:00:00-05:00,14114.00796337891,8194.805143554691,56,5919.202819824219,-0.0003468163861498619
2020-11-03 00:00:00-05:00,14197.312157470707,10762.979149658207,32,3434.3330078125,0.005902235162963176
2020-11-04 00:00:00-05:00,14330.547794479375,12766.669330734258,14,1563.8784637451172,0.00938456769357976
2020-11-05 00:00:00-05:00,14380.24602059937,13570.55282907105,7,809.6931915283204,0.0034679920706968126
2020-11-06 00:00:00-05:00,14379.32626657105,13570.55282907105,7,808.7734375,-6.395954749338628e-05
2020-11-09 00:00:00-05:00,14354.213565383918,9598.470431838994,42,4755.743133544923,-0.0017464449113665514
2020-11-10 00:00:00-05:00,14332.306778968816,6994.37499338532,65,7337.931785583496,-0.0015261572022260417
2020-11-11 00:00:00-05:00,14546.892562026982,10126.815489883427,38,4420.077072143555,0.01497217345173274
2020-11-12 00:00:00-05:00,14536.535277481084,10126.815489883427,38,4409.719787597656,-0.0007119929223190491
2020-11-13 00:00:00-05:00,14530.598114028933,7332.775207534794,62,7197.82290649414,-0.0004084304367456548
2020-11-16 00:00:00-05:00,14587.547031318667,8146.6996726150555,55,6440.847358703612,0.003919241096810078
2020-11-17 00:00:00-05:00,14531.965389411931,6280.312801521306,71,8251.652587890625,-0.0038102116680347464
2020-11-18 00:00:00-05:00,14430.32815416718,3630.048582633977,94,10800.279571533203,-0.006994046057858361
2020-11-19 00:00:00-05:00,14479.988619102482,4778.797395957951,84,9701.191223144531,0.003441395400350711
2020-11-20 00:00:00-05:00,14367.659630790715,3744.745415702824,93,10622.91421508789,-0.007757532914326903
2020-11-23 00:00:00-05:00,14045.598131233219,2630.361764961247,103,11415.236366271973,-0.022415724469648457
2020-11-24 00:00:00-05:00,14170.708900581365,4865.3698808059735,83,9305.33901977539,0.008907471805699618
2020-11-25 00:00:00-05:00,14233.38583661652,6665.757510200505,67,7567.628326416016,0.004422992277583582
2020-11-27 00:00:00-05:00,14264.114429069523,7454.426623893742,60,6809.68780517578,0.0021589095388638846
2020-11-30 00:00:00-05:00,14407.797290397648,7454.426623893742,60,6953.370666503906,0.01007303061417586
2020-12-01 00:00:00-05:00,14615.479526954656,9120.223408180242,46,5495.256118774414,0.01441457235766519
2020-12-02 00:00:00-05:00,14626.000047508245,9713.686921897894,41,4912.313125610352,0.0007198204160312471
2020-12-03 00:00:00-05:00,14620.412408653265,9713.686921897894,41,4906.725486755371,-0.0003820346531403507
2020-12-04 00:00:00-05:00,14585.25494110871,7087.968953254705,63,7497.285987854004,-0.0024046837094517937
